"","county_no","USPS","county_fips","NAME","latP","lonP","freq","nS_past","nS_future","isWeibull_past","uS_past","scale_past","isWeibull_future","uS_future","scale_future","NTC_1","NTC_2","lambda_past","lambda_future","shp_past","shp_future"
"11",11,"AL","01021","Chilton County",32.854051,-86.726607,0.507021596790017,753,906,0,29.9444036322173,3.90396055485465,0,29.0176260413327,3.36354585770029,23.8205689715358,3.49395091674522,0.0410734954165006,0.0358160951374847,0.00973342913469799,0.08847078689281
"12",12,"AL","01023","Choctaw County",31.990954,-88.248889,0.540688369485238,803,966,0,29.8974060017326,4.03165755268021,0,27.0540716847792,4.83725656583111,23.8184341991039,3.47895105874622,0.0464601833399761,0.0917938846745124,0.0831359317108131,0.0827220072616688
"13",13,"AL","01025","Clarke County",31.685521,-87.818624,0.572335135818745,852,1020,0,35.5154103969301,2.8044395969525,0,29.4432038929713,4.72880957460627,23.7835324400226,3.4801695344129,0.0175067357512953,0.0701391097817089,0.0741701609097112,0.0489317832557159
"14",14,"AL","01027","Clay County",33.2704,-85.863525,0.476048165910415,707,846,1,31.3147509444774,3.9116029360209,1,30.331246736066,2.95848011917088,23.7879873342695,3.49735341183164,0.0188534077321642,0.0146303218837716,-0.32315378677869,-0.158704295078228
"15",15,"AL","01029","Cleburne County",33.671964,-85.516126,0.416121310512923,619,744,1,30.2829912065164,4.26617101579757,1,25.196618350419,2.76047768248374,23.7904895860963,3.49750732588782,0.0161600637704265,0.0240500219785695,-0.416104602471418,-0.0238823939496939
"16",16,"AL","01031","Coffee County",31.402258,-85.989602,0.616101940322531,916,1098,0,32.5018569018669,4.56799350909253,1,33.6984863300662,4.86956347221878,23.657154604748,3.4926939590014,0.0484801913112794,0.0331056598169666,0.097627698030125,-0.0130496928052444
"17",17,"AL","01033","Colbert County",34.703112,-87.801457,0.145440458043352,217,258,1,19.7768980228596,5.28959424948703,1,17.6465872156557,2.62977613140193,24.1263433223826,3.49507483036511,0.0323201275408529,0.0157842357566428,-0.181154455727226,-0.0381396608406688
"18",18,"AL","01035","Conecuh County",31.430926,-86.988722,0.593208534889781,882,1056,0,33.1726260810051,4.6658634266293,1,30.4480955068513,4.54772553766422,23.7308207438457,3.48611449786914,0.047806855320845,0.0528045476132949,0.0727722900089898,-0.0211546851034249
"19",19,"AL","01037","Coosa County",32.931445,-86.243482,0.5043282549744,750,900,0,32.3887052918695,2.68315722071263,1,33.2974480463212,3.89288829237676,23.7889593795179,3.49631996195212,0.0181800717417298,0.011767659282736,0.0300246393914178,-0.174449151612345
"20",20,"AL","01039","Covington County",31.243987,-86.448721,0.61744861123034,920,1098,1,38.8186383592783,4.81732081398988,0,28.8508838340297,4.2510386277282,23.6900858709115,3.48884742397688,0.0188534077321642,0.0725417767292476,-0.132288163598668,0.0995686111121703
"21",21,"AL","01041","Crenshaw County",31.730311,-86.320038,0.593208534889781,882,1056,0,30.0026450549428,4.71507286709953,0,32.4714718944714,3.50984488286679,23.6949576971207,3.49357500671238,0.0666602630530092,0.032581529378416,0.0428296422511123,0.0761556676868076
"22",22,"AL","01043","Cullman County",34.131923,-86.869267,0.317814334242879,473,564,1,23.5918763842407,3.68465361465853,0,20.0397512184945,3.31767045624204,24.0001865988963,3.48915881965879,0.041746831406935,0.0518420545218881,-0.0143718074127583,0.0941087611588571
"23",23,"AL","01045","Dale County",31.430654,-85.609476,0.631588655762332,941,1128,0,29.6900017749413,4.58150628539155,0,25.9697985966992,4.7612170731005,23.6251095206188,3.49442465189799,0.0686802710243125,0.127661536803025,0.0148323411874819,0.0888698370575881
